"Location Properties"
"Location Name = CLH_2024_Adobe_AC4_PT-529155"
"Location ID = 6621191135166464"
"Latitude = 38.95677185058594 °"
"Longitude = -122.89136505126953 °"
"Time shown in UTC"
""
""
"Date Time","Temperature (C)","Pressure (psi)","Depth (m)"
"2024-04-18 05:45:00.000","15.800460815429688","0.6831254959106445","0.4799812039375305"
"2024-04-18 06:00:00.000","15.680313110351562","0.6809520721435547","0.47797776517868046"
"2024-04-18 06:15:00.000","15.565216064453125","0.6801223754882812","0.47879388542175294"
"2024-04-18 06:30:00.000","15.454498291015625","0.6788368225097656","0.4768133013725281"
"2024-04-18 06:45:00.000","15.342269897460938","0.6796426773071289","0.4793536623001099"
"2024-04-18 07:00:00.000","15.240966796875","0.6795921325683594","0.47853147411346436"
"2024-04-18 07:15:00.000","15.145477294921875","0.6810932159423828","0.47933556747436523"
"2024-04-18 07:30:00.000","15.049240112304688","0.6796531677246094","0.48066848030090337"
"2024-04-18 07:45:00.000","14.957366943359375","0.6813859939575195","0.4783885322570801"
"2024-04-18 08:00:00.000","14.866195678710938","0.6801767349243164","0.4783959082603455"
"2024-04-18 08:15:00.000","14.780120849609375","0.6801338195800781","0.47890129165649414"
"2024-04-18 08:30:00.000","14.697677612304688","0.6796207427978516","0.4792429132461548"
"2024-04-18 08:45:00.000","14.629104614257812","0.6796436309814453","0.4787670701980591"
"2024-04-18 09:00:00.000","14.56707763671875","0.6809148788452148","0.4782489332199097"
"2024-04-18 09:15:00.000","14.522537231445312","0.6796340942382812","0.4775764088630676"
"2024-04-18 09:30:00.000","14.49114990234375","0.6796531677246094","0.47788514728546144"
"2024-04-18 09:45:00.000","14.466339111328125","0.6788244247436523","0.47726701641082764"
"2024-04-18 10:00:00.000","14.448837280273438","0.6783914566040039","0.47656560573577883"
"2024-04-18 10:15:00.000","14.430572509765625","0.6775293350219727","0.47675018749237064"
"2024-04-18 10:30:00.000","14.413055419921875","0.6782417297363281","0.4770341091156006"
"2024-04-18 10:45:00.000","14.396270751953125","0.6778812408447266","0.4770723698616028"
"2024-04-18 11:00:00.000","14.378021240234375","0.6765222549438477","0.47632601280212405"
"2024-04-18 11:15:00.000","14.355392456054688","0.6773557662963867","0.47649042863845825"
"2024-04-18 11:30:00.000","14.334213256835938","0.6788730621337891","0.47665019359588623"
"2024-04-18 11:45:00.000","14.30938720703125","0.6769838333129883","0.47700860195159916"
"2024-04-18 12:00:00.000","14.283096313476562","0.6774625778198242","0.4769045385360718"
"2024-04-18 12:15:00.000","14.2509765625","0.6762571334838867","0.47787573652267457"
"2024-04-18 12:30:00.000","14.220306396484375","0.6779146194458008","0.47664347162246706"
"2024-04-18 12:45:00.000","14.183792114257812","0.6763925552368164","0.47711128463745117"
"2024-04-18 13:00:00.000","14.14654541015625","0.6760654449462891","0.4760957942962647"
"2024-04-18 13:15:00.000","14.108566284179688","0.6779108047485352","0.47730255203247074"
"2024-04-18 13:30:00.000","14.069122314453125","0.6779012680053711","0.47684749259948733"
"2024-04-18 13:45:00.000","14.0281982421875","0.6795835494995117","0.47747706899642944"
"2024-04-18 14:00:00.000","13.989486694335938","0.677119255065918","0.47830866794586185"
"2024-04-18 14:15:00.000","13.95513916015625","0.678898811340332","0.477234787273407"
